time,flow,temp,salt,NIT_amm,NIT_no2,NIT_nit,PHS_frp,OGM_pon,OGM_don,OGM_pop,OGM_dop,TOT_tn,TOT_tp
2023-12-25 00:00:00,  924.128704,   21.610492,    0.002722,   72.073568,    0.838467,    0.000000,   18.102288,   30.212226,   14.262385,    0.889620,    0.346471,    0.000000,    0.000000
2023-12-26 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2023-12-27 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2023-12-28 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2023-12-29 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2023-12-30 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2023-12-31 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-01 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-02 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-03 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-04 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-05 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-06 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-07 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-08 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-09 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-10 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-11 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-12 00:00:00,21703.547266,   23.763149,    0.002256,   43.408183,    1.168592,   15.111365,   16.792310,   29.567943,   13.207153,    0.994084,    0.319941,    0.000000,    0.000000
2024-01-13 00:00:00,64225.265014,   23.205895,    0.002256,   62.445073,    2.069499,   17.323873,   17.717482,   35.688357,   13.563431,    1.021276,    0.318438,    0.000000,    0.000000
2024-01-14 00:00:00,54063.637681,   23.810705,    0.002137,   30.017325,    1.923489,   22.654820,   12.642232,   30.928246,   12.663939,    0.927658,    0.327865,    0.000000,    0.000000
2024-01-15 00:00:00,60996.200784,   22.076402,    0.002125,   62.426119,    2.321951,   20.014350,   13.233020,   36.511241,   13.108854,    0.936362,    0.328379,    0.000000,    0.000000
2024-01-16 00:00:00,67919.452944,   21.955196,    0.002024,   48.373788,    1.087362,    5.995060,   13.383751,   28.877089,   13.041078,    0.841212,    0.340308,    0.000000,    0.000000
2024-01-17 00:00:00,57094.686693,   22.084285,    0.001650,   61.545333,    2.963306,   22.807489,   14.000986,   26.683921,   12.702376,    0.739554,    0.306358,    0.000000,    0.000000
2024-01-18 00:00:00,63366.666565,   23.092352,    0.001570,   42.838519,    3.734842,   22.870329,   15.259180,   29.497442,   13.181484,    0.747242,    0.304805,    0.000000,    0.000000
2024-01-19 00:00:00,67056.092457,   22.286342,    0.001549,   52.330983,    3.525088,   20.544548,   16.528201,   32.928715,   13.598476,    0.772487,    0.307618,    0.000000,    0.000000
2024-01-20 00:00:00,64290.863362,   23.026145,    0.001496,   46.759542,    3.655375,    4.895871,   14.930389,   31.450438,   13.613878,    0.781634,    0.322701,    0.000000,    0.000000
2024-01-21 00:00:00,51468.433052,   22.092684,    0.001701,   54.334367,    2.823146,    0.213685,   14.123585,   26.599677,   12.596631,    0.709623,    0.297754,    0.000000,    0.000000
2024-01-22 00:00:00,30057.218980,   22.412271,    0.001717,   35.471630,    4.877421,    0.068542,   15.760416,   29.576605,   13.256869,    0.769992,    0.318948,    0.000000,    0.000000
2024-01-23 00:00:00,14865.604644,   21.998429,    0.001718,   40.553140,    2.208974,    0.001159,   17.636797,   29.429542,   13.636848,    0.837426,    0.341333,    0.000000,    0.000000
2024-01-24 00:00:00, 5209.341740,   21.826422,    0.001756,   53.701068,    1.333942,    0.000659,   18.569687,   35.964381,   15.081257,    0.909911,    0.376451,    0.000000,    0.000000
2024-01-25 00:00:00,  910.083893,   21.718844,    0.001759,   83.057020,    1.553135,    2.564255,   20.214974,   41.757007,   15.452308,    0.942795,    0.375885,    0.000000,    0.000000
2024-01-26 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-27 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-28 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-29 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-30 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-01-31 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-01 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-02 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-03 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-04 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-05 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-06 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-07 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-08 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-09 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-10 00:00:00, 1598.200659,   23.778007,    0.002081,   91.997618,    1.805521,    0.760858,   30.032917,  118.717383,   24.416086,    1.162737,    0.308613,    0.000000,    0.000000
2024-02-11 00:00:00,14209.857280,   26.490804,    0.002096,   54.430075,    2.430528,   14.949030,   25.689848,  106.941978,   22.513278,    1.114276,    0.294581,    0.000000,    0.000000
2024-02-12 00:00:00, 8437.340358,   25.182482,    0.002096,   53.432513,    1.872648,    7.153067,   26.366561,  108.467170,   22.599506,    1.124508,    0.292720,    0.000000,    0.000000
2024-02-13 00:00:00, 2884.690910,   22.396093,    0.002096,  113.333744,    1.728626,    3.982031,   26.985868,  111.259300,   22.732011,    1.141060,    0.292844,    0.000000,    0.000000
2024-02-14 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-15 00:00:00,    0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
2024-02-16 00:00:00, 4233.415792,   22.784630,    0.002211,   87.159725,    1.123349,    0.296136,   20.168616,   59.199097,   15.070236,    0.899654,    0.267194,    0.000000,    0.000000
2024-02-17 00:00:00,35221.797771,   24.437786,    0.002546,   43.954020,    1.780355,    2.587853,   21.306150,   72.005069,   17.983051,    1.058620,    0.323085,    0.000000,    0.000000
2024-02-18 00:00:00,53988.090486,   22.204091,    0.002553,   89.374602,    1.705497,    1.734438,   22.000578,   76.485953,   18.209784,    1.084729,    0.324425,    0.000000,    0.000000
2024-02-19 00:00:00,47355.672406,   23.202722,    0.002228,   47.283038,    1.370620,   15.672861,   20.212912,   49.032407,   15.871690,    0.934263,    0.340664,    0.000000,    0.000000
2024-02-20 00:00:00,31047.587245,   21.835383,    0.002181,   68.896700,    1.944751,    9.736459,   20.963208,   49.524789,   15.568150,    0.937457,    0.339534,    0.000000,    0.000000
2024-02-21 00:00:00,22404.135801,   21.412068,    0.002191,   67.920556,    1.397767,    9.942389,   19.178036,   42.800425,   14.742640,    0.907684,    0.348398,    0.000000,    0.000000
2024-02-22 00:00:00,24121.531952,   22.080021,    0.002340,   24.410996,    1.528735,    9.338319,   17.536826,   37.145252,   14.784032,    0.880911,    0.344057,    0.000000,    0.000000
2024-02-23 00:00:00,42822.613463,   20.578692,    0.002327,   60.584670,    1.030475,    3.052402,   18.599544,   43.442378,   15.006043,    0.896562,    0.340865,    0.000000,    0.000000
2024-02-24 00:00:00,111481.798359,   21.379050,    0.002699,   55.472685,    1.318505,    1.121920,   18.376573,   58.071112,   17.435982,    1.013573,    0.379983,    0.000000,    0.000000
2024-02-25 00:00:00,101340.809192,   20.032802,    0.002498,   82.981471,    1.698865,    7.580476,   17.316757,   43.016106,   15.158781,    0.837046,    0.327407,    0.000000,    0.000000
2024-02-26 00:00:00,69710.321408,   21.814271,    0.001942,   42.976656,    2.056160,   20.509781,   10.379791,   28.817548,   11.067986,    0.612514,    0.239808,    0.000000,    0.000000
2024-02-27 00:00:00,39434.561074,   21.321929,    0.001699,   62.944284,    3.309116,   31.391712,   14.771650,   28.194794,   11.964466,    0.667462,    0.265690,    0.000000,    0.000000
2024-02-28 00:00:00,29291.874386,   21.766067,    0.001914,   53.910469,    2.473743,   25.577294,   13.082994,   33.479779,   13.685500,    0.788914,    0.323421,    0.000000,    0.000000
2024-02-29 00:00:00,27901.595132,   21.689468,    0.001939,   58.377610,    2.189126,    7.908560,   13.582405,   35.247245,   14.025773,    0.805830,    0.332513,    0.000000,    0.000000
2024-03-01 00:00:00,20537.063466,   21.059005,    0.001941,   65.286811,    2.373874,   13.966088,   15.235398,   38.696790,   14.395580,    0.826610,    0.328160,    0.000000,    0.000000
2024-03-02 00:00:00,10297.661622,   20.991905,    0.001391,   82.131795,    2.247103,   16.031522,   16.529284,   36.575848,   14.134302,    0.766891,    0.310563,    0.000000,    0.000000
2024-03-03 00:00:00, 3116.343163,   20.930624,    0.001581,   55.663334,    1.323370,   13.617931,   17.659370,   41.181657,   14.739437,    0.798797,    0.311988,    0.000000,    0.000000
2024-03-04 00:00:00,13624.157916,   21.110981,    0.002263,   28.987798,    2.262154,   15.707279,   16.528535,   41.209772,   14.701588,    0.819123,    0.317379,    0.000000,    0.000000
2024-03-05 00:00:00,71361.697952,   19.176081,    0.002294,   65.970317,    1.754921,    9.922864,   17.395519,   47.065199,   14.966778,    0.836975,    0.317517,    0.000000,    0.000000
2024-03-06 00:00:00,134979.114711,   20.651795,    0.001697,   43.202789,    1.716564,    1.235238,   20.468629,   48.006799,   15.248565,    0.839740,    0.300749,    0.000000,    0.000000
2024-03-07 00:00:00,145686.978501,   21.416460,    0.002145,   62.303500,    0.945750,    0.181822,   21.745423,   66.141509,   18.260022,    0.927894,    0.331262,    0.000000,    0.000000
